"Date","Price","CEO"
"1971-10",3.5,"Disney"
"1972-02",3.75,"Tatum"
"1973-04",4.5,"Tatum"
"1974-06",5.25,"Tatum"
"1975-12",6,"Tatum"
"1978-06",6.5,"Walker"
"1979-04",7,"Walker"
"1980-03",7.5,"Walker"
"1980-11",8,"Walker"
"1981-10",9.5,"Walker"
"1982-06",13.25,"Walker"
"1982-09",15,"Walker"
"1983-10",17,"Miller"
"1984-06",18,"Miller"
"1985-06",19.5,"Eisner"
"1985-11",21.5,"Eisner"
"1986-03",23,"Eisner"
"1986-06",24.5,"Eisner"
"1986-12",26,"Eisner"
"1987-12",28,"Eisner"
"1989-05",29,"Eisner"
"1990-02",31,"Eisner"
"1991-02",33,"Eisner"
"1992-06",34,"Eisner"
"1993-05",35,"Eisner"
"1994-03",36,"Eisner"
"1995-02",37,"Eisner"
"1996-02",38.5,"Eisner"
"1997-03",39.75,"Eisner"
"1998-04",42,"Eisner"
"1999-05",44,"Eisner"
"2000-01",46,"Eisner"
"2001-01",48,"Eisner"
"2002-09",50,"Eisner"
"2003-06",52,"Eisner"
"2004-03",54.75,"Eisner"
"2005-01",59.75,"Eisner"
"2006-01",63,"Iger"
"2006-08",67,"Iger"
"2007-08",71,"Iger"
"2008-08",75,"Iger"
"2009-08",79,"Iger"
"2010-08",82,"Iger"
"2011-06",85,"Iger"
"2012-06",89,"Iger"
"2013-06",95,"Iger"
"2014-02",99,"Iger"
"2015-02",105,"Iger"
"2016-02",110,"Iger"
"2018-02",122,"Iger"
"2018-10",129,"Iger"
